country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Philippines,2016,10119,"Horses, live except pure-bred breeding",Import,204841,1236.0,Number of items,6.0,01_live_animals
Philippines,2016,10210,"Bovine animals, live pure-bred breeding",Import,3034163,1150087.0,Number of items,3057.0,01_live_animals
Philippines,2016,10290,"Bovine animals, live, except pure-bred breeding",Import,13482972,4021667.0,Number of items,11145.0,01_live_animals
Philippines,2016,10310,"Swine, live pure-bred breeding",Import,2131635,249750.0,Number of items,2149.0,01_live_animals
Philippines,2016,10511,"Fowls, live domestic < 185 grams",Export,804638,11378.0,Number of items,160348.0,01_live_animals
Philippines,2016,10591,"Fowls, live domestic > 185 grams",Export,5864,982.0,Number of items,359.0,01_live_animals
Philippines,2016,10600,"Animals, live, except farm animals",Export,1071220,354956.0,No Quantity,,01_live_animals
Philippines,2016,10600,"Animals, live, except farm animals",Import,31759,2614.0,Number of items,2401.0,01_live_animals
Philippines,2015,10210,"Bovine animals, live pure-bred breeding",Import,5533060,1495420.0,Number of items,3147.0,01_live_animals
Philippines,2015,10290,"Bovine animals, live, except pure-bred breeding",Import,23392103,7431387.0,Number of items,21615.0,01_live_animals
Philippines,2015,10310,"Swine, live pure-bred breeding",Import,576937,94500.0,Number of items,1575.0,01_live_animals
Philippines,2015,10511,"Fowls, live domestic < 185 grams",Export,669537,10311.0,Number of items,159170.0,01_live_animals
Philippines,2015,10591,"Fowls, live domestic > 185 grams",Export,8715,291.0,Number of items,177.0,01_live_animals
Philippines,2015,10600,"Animals, live, except farm animals",Export,1621293,264755.0,Number of items,1796560.0,01_live_animals
Philippines,2015,10600,"Animals, live, except farm animals",Import,22175,5787.0,Number of items,328724.0,01_live_animals
Philippines,2014,10111,"Horses, live pure-bred breeding",Export,928582,145193.0,Number of items,115974.0,01_live_animals
Philippines,2014,10119,"Horses, live except pure-bred breeding",Export,4024081,1022597.0,Number of items,184825.0,01_live_animals
Philippines,2014,10210,"Bovine animals, live pure-bred breeding",Export,1659,8.0,No Quantity,,01_live_animals
